month,mean,standard_deviation
1,0.0,0.1
2,0.0,0.1
3,0.2,0.1
4,0.3,0.2
5,0.5,0.3
6,0.7,0.2
7,0.8,0.2
8,0.7,0.3
9,0.5,0.3
10,0.3,0.2
11,0.2,0.1
12,0.1,0.1
